time,predict_value1,predict_value2,predict_value3,predict_value4,predict_value5,predict_value6,predict_value7,predict_value0,real
2021-01-14,78.07162103804336,69.44170972967652,65.37614531571934,65.97471711116512,65.16471857302118,69.3881687675617,68.1794690116865,64.30168385369608,90.0
2021-01-15,102.17136011208989,91.62709683388215,85.69011284730021,86.67733555973074,83.19322880562267,82.52091697836629,92.54268061356674,84.32382922356751,104.0
2021-01-16,86.648985695849,88.08642957821438,76.63289310911944,78.32134894268734,66.33356529082533,76.24434115640673,78.76954769255337,76.1846023680115,138.0
2021-01-17,92.23887576506145,71.37757908488881,67.91814654426557,60.033029505230566,57.503816188701926,54.786059696519004,57.946525486153234,58.33148713044359,84.0
2021-01-18,91.82583886196605,94.82811170604032,79.54625763600909,69.77378647858562,65.26636922882129,58.625753734604956,58.95178611660296,59.25100333639718,73.0
2021-01-19,81.06087514708238,70.93772380610497,77.47779641414492,78.37544737194071,78.29979299311891,64.05134840389913,66.26103013516389,66.63759694137126,80.0
2021-01-20,85.61344106558131,89.16144490293567,84.29704465519245,93.80431524438329,101.96725561159663,81.47386234782392,81.5016585407888,81.11106854913663,104.0
2021-01-21,94.89723368172459,89.04378299506563,99.63512599498428,102.14903280581274,111.64451371606242,105.75420539337115,100.80700610817773,85.28723818655997,82.0
2021-01-22,92.67048660035513,92.8988009421174,82.63830997546758,100.3596391413329,97.43129447849336,102.66484433144454,104.28521620209096,87.96893642343221,50.0
2021-01-23,86.78825487574835,101.77706571907883,92.30923794829388,96.897144618016,107.79504498865795,100.56466159202628,107.96801005386786,100.95661102726177,67.0
2021-01-24,73.52695294942144,77.04137936001719,84.73589235676401,83.26335206058067,90.76546991184298,76.09833828013738,78.44393916699251,78.3536273985398,87.0
2021-01-25,77.34383582263129,75.45483087960386,80.31353705382554,82.82341453931147,85.53092448944331,76.62452179289353,76.5634130529526,87.4813932869068,58.0
2021-01-26,69.56923412240214,79.74467547990483,76.11574825328707,82.29666000907422,82.53875249171239,77.25042927855378,78.30264342116922,84.43541647569707,63.0
2021-01-27,65.29449663208794,60.24448248213657,60.95177625996305,59.0103691389012,53.13900700768197,70.75705767910857,73.97076149361055,72.75586550703632,80.0
2021-01-28,63.749610103183976,58.12860703760759,49.53924015699169,53.76151356338394,42.628773690295354,50.412494801798026,57.11164792491894,47.81461725950642,82.0
2021-01-29,70.33616174221362,69.92752569082472,58.02457109521993,54.93566266766695,58.28987306600182,57.73676339770576,54.04852279283664,56.53232977150072,67.0
2021-01-30,84.36170574481338,85.9409700101489,76.77287503426223,69.91491544667159,77.83381211938477,72.95483991588584,77.0926884504316,78.79356530214548,77.0
2021-01-31,85.1064068065569,83.9755894839087,75.44748874067699,83.45605314428889,79.75608130137908,81.69152249809999,79.97203100268476,87.46740541679284,97.0
2021-02-01,88.35721922134171,87.53791256072451,81.98531859476573,87.80625358850108,84.4556513574149,76.53415111066877,76.58157217003874,85.98810878580579,56.0
2021-02-02,69.02700994672021,81.00250453423953,72.24430834607992,77.07980917004228,82.47274661101935,78.83691593934384,74.39638002229721,75.20738229694689,87.0
2021-02-03,80.06359567089713,73.9928448483157,64.03975596347146,67.38783617603698,66.99951446965807,67.78469622514007,63.11351639361595,70.62970980656826,64.0
2021-02-04,67.83053696948646,83.90139369987419,73.48673975460515,76.0122547946153,72.57775975011936,77.84689044731438,74.09241910469379,75.18054061064315,65.0
2021-02-05,68.57417112322409,77.41416210620808,69.41671032614333,72.90429225331378,76.14890087468645,75.32267981196493,72.45334319922573,71.02564899613967,59.0
2021-02-06,76.64501655632644,92.75847095846767,87.78282325042647,87.12948284010979,87.02623243014581,86.92256852267377,83.34978868370052,87.14075142830829,56.0
2021-02-07,69.63101111257944,81.59473295643221,84.98195637372402,77.9672857607893,84.39874250501664,87.61341168419676,88.37080830343896,84.09451029324835,71.0
2021-02-08,73.69044096089353,69.81734771803255,71.26481257719121,69.13768991942221,73.88371778537335,71.20496225699551,71.47511215807191,69.47250193215795,59.0
2021-02-09,45.714840412077834,50.114443595654855,49.669320086660306,52.68832466283869,48.40052797921583,56.57924342163809,52.67140234390304,57.273902925143574,43.0
2021-02-10,28.378325478708682,27.368466685391393,35.1236408182443,27.24216162201803,31.369024173447805,31.31406750380583,33.40940208318927,34.21296521432139,25.0
2021-02-11,32.35224262575278,41.03337458329244,36.15544054911997,34.64434560894126,30.994081928595644,34.896606467128535,33.994788278405764,43.64107459713069,27.0
